Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Gianluigi Donnarumma,it ITA,GK,25,40,40,"3,561",39.6,39,0.99,127,89,70.1,29,6,5,11,27.5,1,1,0,0,0.0,Matches
Matvei Safonov,ru RUS,GK,25,17,16,"1,539",17.1,13,0.76,41,31,73.2,12,2,2,7,43.8,4,2,2,0,50.0,Matches
Arnau Tenas,es ESP,GK,23,2,2,180,2.0,3,1.50,8,5,62.5,2,0,0,0,0.0,0,0,0,0,,Matches
